1,"神奈川県横浜市港北区新吉田町5203-1","24時間","24時間","24時間","24時間","年中無休","0570-200-588","CHAdeMO中速 40kW/1台",2018/09/19 14:00:00,2018/09/19 14:00:00
2,"神奈川県横浜市港北区師岡町700","9:00～23:30","9:00～23:30","9:00～23:30","9:00～23:30","年中無休
設置場所:平面駐車場(北棟のビクトリアゴルフ近く)
充電1回90分まで。","045-534-2200","ケーブル付充電器
1 台",2018/09/19 14:00:00,2018/09/19 14:00:00
3,"神奈川県横浜市港北区樽町2-1-1","24時間","24時間","24時間","24時間",,"045-542-7371","CHAdeMO急速 50kW / 1 台",2018/09/19 14:00:00,2018/09/19 14:00:00
4,"神奈川県横浜市港北区箕輪町2-5-2","24時間","24時間","24時間","24時間","[普通充電器]
コンセントは店舗の営業時間内のみお使いいただけます。","045-563-7732","CHAdeMO急速
44kW / 1 台
200Vコンセント
1 台",2018/09/19 14:00:00,2018/09/19 14:00:00
5,"神奈川県横浜市港北区小机町3300","7:00～22:00","7:00～22:00","7:00～22:00","7:00～22:00","設置場所:第1駐車場(日産スタジアム 西ゲート橋下)
充電2時間まで。
営業車不可。","045-477-5008","ケーブル付充電器
4 台",2018/09/19 14:00:00,2018/09/19 14:00:00
6,"神奈川県横浜市港北区新横浜3-4","24時間","24時間","24時間","24時間","年中無休
設置場所:6階 ホテル入口付近
タイムズクラブ パーク&チャージ会員専用。","0120-778-924","ケーブル付充電器
2 台",2018/09/19 14:00:00,2018/09/19 14:00:00
7,"神奈川県横浜市港北区新横浜1-15-6","10:00～21:00","10:00～21:00","10:00～21:00","10:00～21:00","設置場所:立体駐車場4階",,"ケーブル付充電器
3 台",2018/09/19 14:00:00,2018/09/19 14:00:00
8,"神奈川県横浜市港北区新横浜2-14-21","6:00～0:00","6:00～0:00","6:00～0:00","6:00～0:00","設置場所:提携駐車場2階
入出庫ができるのは6:00-24:00の間のみですが、その間に入庫していれば充電器自体は24時間お使いいただけます。","045-471-0503","ケーブル付充電器
1 台",2018/09/19 14:00:00,2018/09/19 14:00:00
9,"神奈川県横浜市港北区箕輪町2-5-57","24時間","24時間","24時間","24時間","[普通充電器]
コンセントは店舗の営業時間内のみお使いいただけます。","045-562-2341","CHAdeMO急速
44kW / 1 台
200Vコンセント
1 台",2018/09/19 14:00:00,2018/09/19 14:00:00
10,"神奈川県横浜市港北区大豆戸町114-1","7:00～23:00","7:00～23:00","7:00～23:00","7:00～23:00","設置場所:平面駐車場奥","045-532-0491","ケーブル付充電器
2 台",2018/09/19 14:00:00,2018/09/19 14:00:00
11,"神奈川県横浜市港北区大倉山5-24-14","9:00～22:00","9:00～22:00","9:00～22:00","9:00～22:00","設置場所:平面駐車場
充電1回60分まで。","045-532-2461","ケーブル付充電器
2 台",2018/09/19 14:00:00,2018/09/19 14:00:00
12,"神奈川県横浜市港北区大豆戸町1177-1","24時間","24時間","24時間","24時間","コールセンターに電話し、パスワードを聞いて利用。","0120-036-548","ケーブル付充電器
1 台",2018/09/19 14:00:00,2018/09/19 14:00:00
13,"神奈川県横浜市港北区師岡町700","10:00～19:30","10:00～19:30","10:00～19:30","10:00～19:30","年中無休、12/31は19:00まで
設置場所:1F駐車場(店舗受付付近、屋根の下)
受付にてお声掛けください。
200Vケーブル付き。
充電時間1時間まで。","045-541-8851","ケーブル付充電器
1 台",2018/09/19 14:00:00,2018/09/19 14:00:00
14,"神奈川県横浜市港北区新羽町1684","9:45～19:00","9:45～19:00","9:45～19:00","9:45～19:00","火曜定休","045-542-0023","200Vコンセント
1 台",2018/09/19 14:00:00,2018/09/19 14:00:00
15,"神奈川県横浜市港北区綱島東4-3-17","9:00～21:00","9:00～21:00","9:00～21:00","9:00～21:00","年中無休
設置場所:4階駐車場
初回サービスカウンターで要登録。
充電終了後は速やかにお車の移動をお願いいたします。
充電2時間まで。","045-547-0011","ケーブル付充電器
2 台",2018/09/19 14:00:00,2018/09/19 14:00:00
16,"神奈川県横浜市港北区樽町3-7-30","10:00～18:00","10:00～18:00","10:00～18:00","10:00～18:00","火曜定休、GW・年末年始等休み (詳細は店舗へお問合せください)
充電1回1時間まで。","045-541-0181","ケーブル付充電器
1 台",2018/09/19 14:00:00,2018/09/19 14:00:00
17,"神奈川県横浜市港北区小机町2484-10","24時間","24時間","24時間","24時間","コールセンターに電話し、パスワードを聞いて利用。","0120-036-548","ケーブル付充電器
1 台",2018/09/19 14:00:00,2018/09/19 14:00:00
18,"神奈川県横浜市港北区大豆戸町26","0:00～16:00","24時間","24時間","24時間","充電1時間まで。","0120-778-924","ケーブル付充電器
1 台",2018/09/19 14:00:00,2018/09/19 14:00:00
19,"神奈川県横浜市港北区新羽町1639-1","10:00～16:00","10:00～16:00","10:00～16:00","10:00～16:00","年中無休
窓口にて要お申し出。
充電20分まで。","045-549-0028","ケーブル付充電器
1 台",2018/09/19 14:00:00,2018/09/19 14:00:00
20,"神奈川県横浜市港北区師岡町700","10:00～21:00","10:00～21:00","10:00～21:00","10:00～21:00","年中無休
設置場所:1F駐車場","045-533-5011","ケーブル付充電器
1 台",2018/09/19 14:00:00,2018/09/19 14:00:00
21,"神奈川県横浜市港北区大豆戸町210","24時間","24時間","24時間","24時間",,"0120-162-088","ケーブル付充電器
1 台",2018/09/19 14:00:00,2018/09/19 14:00:00
22,"神奈川県横浜市港北区新羽町1623","10:00～18:00","10:00～18:00","10:00～18:00","10:00～18:00","火曜定休","045-543-1111","ケーブル付充電器
1 台",2018/09/19 14:00:00,2018/09/19 14:00:00
23,"神奈川県横浜市港北区大倉山1-27-1","10:00～18:00","10:00～18:00","10:00～18:00","10:00～18:00","火曜定休、GW・年末年始等休み (詳細は店舗へお問合せください)
充電開始の最終受付は、17:00 となります。
充電1回1時間まで。","045-541-2111","ケーブル付充電器
1 台",2018/09/19 14:00:00,2018/09/19 14:00:00
24,"神奈川県横浜市港北区箕輪町2-5-16","10:00～18:30","10:00～18:30","10:00～18:30","10:00～18:30","水曜定休、年末年始・GWなど不定休あり","045-561-0150","CHAdeMO急速
50kW / 1 台",2018/09/19 14:00:00,2018/09/19 14:00:00
